"","Label_index","SPL_ch1","Coef_ch1","Time_ch1","SPL_ch2","Coef_ch2","Time_ch2","SPL_ch3","Coef_ch3","Time_ch3","SPL_ch4","Coef_ch4","Time_ch4","SPL_ch5","Coef_ch5","Time_ch5","SPL_ch6","Coef_ch6","Time_ch6"
"1","tp_6",-53.3146367343693,-0.189164828162671,0.566927083333333,-51.1925009759026,-0.142675030404353,0.56859375,-50.3327439958126,-0.0982934448558686,0.55890625,-39.695285399943,-0.0308030085437054,0.550635416666667,-49.3605784111123,-0.0747096604559631,0.569927083333333,-56.179214227258,0.164631827753788,0.577927083333333
"2","tp_7",-56.0493848021237,-1.03429061538341,0.72096875,-59.9303041649338,-1.27599330460236,0.72209375,-55.0609662279786,-0.888391381869017,0.71578125,-44.0239791027999,-0.428771192773546,0.712552083333333,-45.2029061878901,-0.501034478830298,0.716260416666667,-51.3857712029184,-0.646956376288712,0.72309375
"3","tp_184",-52.3951909347336,-0.473144940249016,0.855677083333333,-51.4018318975564,-0.287320358346653,0.85784375,-50.267551909647,-0.410797201319756,0.846885416666667,-39.677855374573,-0.3386957851883,0.840010416666667,-54.5837245943486,-3.76238747209755,0.816760416666667,-57.0691902338378,-1.57430663254463,0.838052083333333
"4","tp_10",-58.6047806602694,-1.89952246239532,0.896260416666667,-62.3524155201993,-1.3999170934044,0.89503125,-57.3154427280819,-1.95849839870535,0.896010416666667,-46.3562014061801,-1.85691371566679,0.88540625,-47.4519864911745,0.206901783242532,0.89234375,-54.228175824876,-0.419863859169152,0.90059375
"5","tp_11",-50.182919752911,-0.0824348299958782,0.958552083333333,-54.5223134212442,-0.0960619808049929,0.95578125,-43.1981814674387,-0.208113339831305,0.945364583333333,-34.9977915400361,-0.318738329692282,0.941385416666667,-56.6186584033313,0.12292480669083,0.907135416666667,-53.7592421532074,-0.142150165756931,0.96140625
"6","fp_2",-61.3486114768781,-1.59995267448774,1.02063541666667,-60.8109654720008,-1.23190859364995,1.02403125,-58.1368384382215,-1.29122113322583,1.03965625,-61.7356214570452,-1.38249535104647,1.04163541666667,NA,NA,NA,NA,NA,NA
"7","tp_13",-50.1695288118023,-0.017662534239819,1.17413541666667,-54.8295402011321,-0.179486139420278,1.16911458333333,-43.5184045366559,-0.0796848563701649,1.16284375,-35.9947895757319,-0.126981838856499,1.15821875,-57.8282543858623,-0.287698461946009,1.17065625,-54.062092134759,-0.0303403452963419,1.17748958333333
"8","fp_3",-60.4518832423673,-1.62894941011662,1.24984375,-59.4614870129248,-1.16101476516137,1.24836458333333,-58.4818405905487,-1.49007886047671,1.25765625,-57.3139001759451,-1.18668021431697,1.25867708333333,NA,NA,NA,NA,NA,NA
"9","fp_4",-61.2697048167231,-1.02478172477931,1.46896875,-58.8322362114377,-0.890047072961843,1.45978125,-56.8163899429336,-1.35766901673344,1.46863541666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","fp_5",-60.5056205314575,-1.48767769328605,1.67213541666667,-57.7248838111469,-1.02380856052661,1.67107291666667,-57.8864662897054,-1.24650694050666,1.68003125,-57.2461275422773,-0.960950344185606,1.68813541666667,NA,NA,NA,NA,NA,NA
